grid_id,lng,lat
ODI_00000,84.50499999999998,19.005
ODI_00001,84.505,19.015
ODI_00002,84.50499999999998,19.025
ODI_00003,84.505,19.034999999999997
ODI_00004,84.50499999999998,19.045
ODI_00005,84.505,19.055
ODI_00006,84.50499999999998,19.065
ODI_00007,84.505,19.074999999999996
ODI_00008,84.50499999999998,19.085
ODI_00009,84.50499999999998,19.095
ODI_00010,84.505,19.105
ODI_00011,84.50499999999998,19.115000000000002
ODI_00012,84.505,19.125
ODI_00013,84.50499999999998,19.135
ODI_00014,84.505,19.145
ODI_00015,84.50499999999998,19.154999999999998
ODI_00016,84.50499999999998,19.165
ODI_00017,84.505,19.175000000000004
ODI_00018,84.50499999999998,19.185
ODI_00019,84.505,19.195
ODI_00020,84.50499999999998,19.205000000000002
ODI_00021,84.505,19.215
ODI_00022,84.50499999999998,19.225
ODI_00023,84.505,19.235
ODI_00024,84.50499999999998,19.244999999999997
ODI_00025,84.50499999999998,19.255000000000003
ODI_00026,84.505,19.265
ODI_00027,84.50499999999998,19.275000000000002
ODI_00028,84.505,19.285000000000004
ODI_00029,84.50499999999998,19.294999999999998
ODI_00030,84.505,19.305
ODI_00031,84.50499999999998,19.314999999999998
ODI_00032,84.505,19.325000000000003
ODI_00033,84.50499999999998,19.335
ODI_00034,84.50499999999998,19.345000000000002
ODI_00035,84.505,19.355
ODI_00036,84.50499999999998,19.365000000000002
ODI_00037,84.505,19.375000000000004
ODI_00038,84.50499999999998,19.384999999999998
ODI_00039,84.505,19.395
ODI_00040,84.50499999999998,19.404999999999998
ODI_00041,84.50499999999998,19.415000000000003
ODI_00042,84.505,19.425
ODI_00043,84.50499999999998,19.435
ODI_00044,84.505,19.445
ODI_00045,84.50499999999998,19.455
ODI_00046,84.505,19.465
ODI_00047,84.50499999999998,19.475
ODI_00048,84.505,19.485
ODI_00049,84.50499999999998,19.494999999999997
ODI_00050,84.50499999999998,19.505000000000003
ODI_00051,84.505,19.514999999999997
ODI_00052,84.50499999999998,19.525
ODI_00053,84.505,19.535
ODI_00054,84.50499999999998,19.545
ODI_00055,84.505,19.555000000000003
ODI_00056,84.50499999999998,19.564999999999998
ODI_00057,84.505,19.575
ODI_00058,84.50499999999998,19.585
ODI_00059,84.50499999999998,19.595
ODI_00060,84.505,19.605
ODI_00061,84.50499999999998,19.615000000000002
ODI_00062,84.505,19.624999999999996
ODI_00063,84.505,19.635000000000048
ODI_00064,84.50499999999998,19.645000000000103
ODI_00065,84.50499999999998,19.6550000000001
ODI_00066,84.50499999999998,19.665000000000102
ODI_00067,84.50499999999998,19.675000000000104
ODI_00068,84.50499999999998,19.68500000000011
ODI_00069,84.50499999999998,19.695000000000107
ODI_00070,84.50499999999998,19.70500000000011
ODI_00071,84.50499999999998,19.715000000000114
ODI_00072,84.50499999999998,19.725000000000115
ODI_00073,84.50499999999998,19.735000000000117
ODI_00074,84.50499999999998,19.74500000000012
ODI_00075,84.50499999999998,19.755000000000116
ODI_00076,84.50499999999998,19.76500000000012
ODI_00077,84.50499999999998,19.77500000000012
ODI_00078,84.50499999999998,19.785000000000124
ODI_00079,84.50499999999998,19.795000000000122
ODI_00080,84.50499999999998,19.80500000000013
ODI_00081,84.50499999999998,19.81500000000013
ODI_00082,84.50499999999998,19.825000000000127
ODI_00083,84.50499999999998,19.835000000000132
ODI_00084,84.50499999999998,19.845000000000134
ODI_00085,84.50499999999998,19.855000000000132
ODI_00086,84.50499999999998,19.865000000000133
ODI_00087,84.50499999999998,19.875000000000135
ODI_00088,84.50499999999998,19.88500000000014
ODI_00089,84.50499999999998,19.895000000000138
ODI_00090,84.50499999999998,19.90500000000014
ODI_00091,84.50499999999998,19.915000000000145
ODI_00092,84.50499999999998,19.925000000000146
ODI_00093,84.50499999999998,19.935000000000148
ODI_00094,84.50499999999998,19.945000000000146
ODI_00095,84.50499999999998,19.955000000000144
ODI_00096,84.50499999999998,19.965000000000153
ODI_00097,84.50499999999998,19.97500000000015
ODI_00098,84.50499999999998,19.985000000000156
ODI_00099,84.50499999999998,19.995000000000154
ODI_00100,84.50499999999998,20.00500000000016
ODI_00101,84.50499999999998,20.015000000000157
ODI_00102,84.50499999999998,20.02500000000016
ODI_00103,84.50499999999998,20.035000000000164
ODI_00104,84.50499999999998,20.045000000000165
ODI_00105,84.50499999999998,20.05500000000016
ODI_00106,84.50499999999998,20.065000000000165
ODI_00107,84.50499999999998,20.075000000000166
ODI_00108,84.50499999999998,20.08500000000017
ODI_00109,84.50499999999998,20.09500000000017
ODI_00110,84.50499999999998,20.105000000000175
ODI_00111,84.50499999999998,20.115000000000173
ODI_00112,84.50499999999998,20.125000000000174
ODI_00113,84.50499999999998,20.13500000000018
ODI_00114,84.50499999999998,20.145000000000177
ODI_00115,84.50499999999998,20.155000000000175
ODI_00116,84.50499999999998,20.165000000000184
ODI_00117,84.50499999999998,20.175000000000182
ODI_00118,84.50499999999998,20.185000000000187
ODI_00119,84.50499999999998,20.195000000000185
ODI_00120,84.50499999999998,20.20500000000019
ODI_00121,84.50499999999998,20.215000000000188
ODI_00122,84.50499999999998,20.22500000000019
ODI_00123,84.50499999999998,20.235000000000195
ODI_00124,84.50499999999998,20.245000000000196
ODI_00125,84.50499999999998,20.25500000000019
ODI_00126,84.50499999999998,20.265000000000196
ODI_00127,84.50499999999998,20.275000000000198
ODI_00128,84.50499999999998,20.285000000000203
ODI_00129,84.50499999999998,20.2950000000002
ODI_00130,84.50499999999998,20.305000000000206
ODI_00131,84.50499999999998,20.315000000000204
ODI_00132,84.50499999999998,20.32500000000021
ODI_00133,84.50499999999998,20.33500000000021
ODI_00134,84.50499999999998,20.34500000000021
ODI_00135,84.50499999999998,20.35500000000021
ODI_00136,84.50499999999998,20.365000000000215
ODI_00137,84.50499999999998,20.375000000000217
ODI_00138,84.50499999999998,20.38500000000022
ODI_00139,84.50499999999998,20.395000000000216
ODI_00140,84.50499999999998,20.40500000000022
ODI_00141,84.50499999999998,20.41500000000022
ODI_00142,84.50499999999998,20.425000000000225
ODI_00143,84.50499999999998,20.435000000000226
ODI_00144,84.50499999999998,20.44500000000023
ODI_00145,84.50499999999998,20.455000000000226
ODI_00146,84.50499999999998,20.465000000000227
ODI_00147,84.50499999999998,20.475000000000232
ODI_00148,84.50499999999998,20.485000000000234
ODI_00149,84.50499999999998,20.495000000000232
ODI_00150,84.50499999999998,20.505000000000233
ODI_00151,84.50499999999998,20.515000000000235
ODI_00152,84.50499999999998,20.52500000000024
ODI_00153,84.50499999999998,20.53500000000024
ODI_00154,84.50499999999998,20.54500000000024
ODI_00155,84.50499999999998,20.55500000000024
ODI_00156,84.50499999999998,20.565000000000243
ODI_00157,84.50499999999998,20.575000000000248
ODI_00158,84.50499999999998,20.585000000000246
ODI_00159,84.50499999999998,20.595000000000248
ODI_00160,84.50499999999998,20.605000000000253
ODI_00161,84.50499999999998,20.61500000000025
ODI_00162,84.50499999999998,20.625000000000256
ODI_00163,84.50499999999998,20.635000000000257
